timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:46:30-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,40.86%,63.7MiB / 160MiB,39.81%,1.88MB / 740kB,868kB / 0B,69
2026-05-29T18:46:30-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.29%,13.47MiB / 30MiB,44.91%,5.28MB / 5.63MB,0B / 12.3kB,15
2026-05-29T18:46:33-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.69%,52.12MiB / 160MiB,32.58%,1.9MB / 741kB,111kB / 0B,16
2026-05-29T18:46:33-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.16%,59.14MiB / 160MiB,36.96%,1.9MB / 752kB,868kB / 0B,64
2026-05-29T18:46:33-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.67%,13.49MiB / 30MiB,44.96%,5.33MB / 5.7MB,0B / 12.3kB,15
2026-05-29T18:46:38-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,11.36%,52.63MiB / 160MiB,32.89%,1.91MB / 748kB,111kB / 0B,16
2026-05-29T18:46:38-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,43.35%,62.25MiB / 160MiB,38.90%,1.92MB / 758kB,868kB / 0B,70
2026-05-29T18:46:38-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.18%,13.98MiB / 30MiB,46.61%,5.39MB / 5.76MB,0B / 12.3kB,15
2026-05-29T18:46:42-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,29.97%,52.96MiB / 160MiB,33.10%,1.93MB / 756kB,111kB / 0B,16
2026-05-29T18:46:42-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,40.50%,59.67MiB / 160MiB,37.29%,1.94MB / 768kB,868kB / 0B,64
2026-05-29T18:46:42-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.58%,13.5MiB / 30MiB,45.00%,5.46MB / 5.83MB,0B / 12.3kB,15
2026-05-29T18:46:46-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.23%,52.21MiB / 160MiB,32.63%,1.95MB / 765kB,111kB / 0B,16
2026-05-29T18:46:46-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,43.08%,61.84MiB / 160MiB,38.65%,1.97MB / 777kB,868kB / 0B,64
2026-05-29T18:46:46-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.55%,13.95MiB / 30MiB,46.51%,5.53MB / 5.91MB,0B / 12.3kB,15
2026-05-29T18:46:50-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,16.11%,52.2MiB / 160MiB,32.62%,1.97MB / 771kB,111kB / 0B,16
2026-05-29T18:46:50-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.47%,61.49MiB / 160MiB,38.43%,1.98MB / 783kB,868kB / 0B,64
2026-05-29T18:46:50-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.35%,13.74MiB / 30MiB,45.79%,5.57MB / 5.95MB,0B / 12.3kB,15
2026-05-29T18:46:54-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,30.62%,52.04MiB / 160MiB,32.53%,2MB / 782kB,139kB / 0B,16
2026-05-29T18:46:54-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.24%,59.61MiB / 160MiB,37.26%,2MB / 791kB,868kB / 0B,64
2026-05-29T18:46:54-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.76%,13.48MiB / 30MiB,44.95%,5.63MB / 6.01MB,0B / 12.3kB,15
2026-05-29T18:46:59-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,19.56%,51.88MiB / 160MiB,32.42%,2.02MB / 789kB,139kB / 0B,16
2026-05-29T18:46:59-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,38.21%,63.32MiB / 160MiB,39.58%,2.02MB / 799kB,868kB / 0B,70
2026-05-29T18:46:59-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.41%,13.23MiB / 30MiB,44.11%,5.7MB / 6.09MB,0B / 12.3kB,15
2026-05-29T18:47:03-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,15.06%,51.92MiB / 160MiB,32.45%,2.03MB / 795kB,139kB / 0B,16
2026-05-29T18:47:03-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,40.52%,60.86MiB / 160MiB,38.03%,2.04MB / 810kB,868kB / 0B,70
2026-05-29T18:47:03-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.36%,13.44MiB / 30MiB,44.80%,5.73MB / 6.13MB,0B / 12.3kB,15
2026-05-29T18:47:07-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,6.33%,51.9MiB / 160MiB,32.44%,2.04MB / 797kB,139kB / 0B,16
2026-05-29T18:47:07-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,32.64%,59.54MiB / 160MiB,37.21%,2.05MB / 820kB,868kB / 0B,64
2026-05-29T18:47:07-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.39%,13.18MiB / 30MiB,43.95%,5.77MB / 6.16MB,0B / 12.3kB,15
2026-05-29T18:47:11-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,0.07%,51.89MiB / 160MiB,32.43%,2.04MB / 797kB,139kB / 0B,16
2026-05-29T18:47:11-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,0.07%,59.84MiB / 160MiB,37.40%,2.05MB / 820kB,868kB / 0B,64
2026-05-29T18:47:11-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,12.38MiB / 30MiB,41.25%,5.78MB / 6.17MB,0B / 12.3kB,15
