timestamp,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
2026-05-29T18:52:08-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,45.61%,63.38MiB / 160MiB,39.61%,2.33MB / 903kB,205kB / 0B,77
2026-05-29T18:52:08-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,45.42%,59.39MiB / 160MiB,37.12%,2.33MB / 940kB,868kB / 0B,50
2026-05-29T18:52:08-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.31%,15.5MiB / 30MiB,51.67%,6.56MB / 7.03MB,0B / 12.3kB,15
2026-05-29T18:52:12-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.91%,60.74MiB / 160MiB,37.96%,2.35MB / 911kB,205kB / 0B,71
2026-05-29T18:52:12-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.48%,61.28MiB / 160MiB,38.30%,2.36MB / 950kB,868kB / 0B,68
2026-05-29T18:52:12-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.37%,16.01MiB / 30MiB,53.37%,6.62MB / 7.1MB,0B / 12.3kB,15
2026-05-29T18:52:16-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,42.03%,60.76MiB / 160MiB,37.97%,2.37MB / 919kB,205kB / 0B,71
2026-05-29T18:52:16-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,43.16%,59.2MiB / 160MiB,37.00%,2.37MB / 956kB,868kB / 0B,62
2026-05-29T18:52:16-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.26%,16.02MiB / 30MiB,53.41%,6.68MB / 7.16MB,0B / 12.3kB,15
2026-05-29T18:52:20-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,44.35%,63.79MiB / 160MiB,39.87%,2.4MB / 929kB,205kB / 0B,77
2026-05-29T18:52:20-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.01%,59.32MiB / 160MiB,37.08%,2.4MB / 969kB,868kB / 0B,63
2026-05-29T18:52:20-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.25%,16.54MiB / 30MiB,55.12%,6.74MB / 7.24MB,0B / 12.3kB,15
2026-05-29T18:52:25-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.79%,61.53MiB / 160MiB,38.46%,2.41MB / 934kB,205kB / 0B,71
2026-05-29T18:52:25-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,39.37%,61.74MiB / 160MiB,38.59%,2.41MB / 975kB,868kB / 0B,69
2026-05-29T18:52:25-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.21%,16.27MiB / 30MiB,54.23%,6.77MB / 7.27MB,0B / 12.3kB,15
2026-05-29T18:52:29-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.81%,62.91MiB / 160MiB,39.32%,2.43MB / 945kB,205kB / 0B,71
2026-05-29T18:52:29-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.41%,61.92MiB / 160MiB,38.70%,2.43MB / 983kB,868kB / 0B,63
2026-05-29T18:52:29-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.49%,15.8MiB / 30MiB,52.68%,6.84MB / 7.34MB,0B / 12.3kB,15
2026-05-29T18:52:33-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,41.22%,64.89MiB / 160MiB,40.56%,2.46MB / 955kB,205kB / 0B,77
2026-05-29T18:52:33-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,41.96%,64.41MiB / 160MiB,40.25%,2.45MB / 990kB,868kB / 0B,69
2026-05-29T18:52:33-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.13%,16.03MiB / 30MiB,53.42%,6.88MB / 7.39MB,0B / 12.3kB,15
2026-05-29T18:52:38-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,46.47%,63.33MiB / 160MiB,39.58%,2.47MB / 960kB,205kB / 0B,71
2026-05-29T18:52:38-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.10%,62.49MiB / 160MiB,39.06%,2.47MB / 1MB,868kB / 0B,64
2026-05-29T18:52:38-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.39%,15.78MiB / 30MiB,52.60%,6.94MB / 7.46MB,0B / 12.3kB,15
2026-05-29T18:52:42-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,38.20%,63.27MiB / 160MiB,39.55%,2.49MB / 968kB,205kB / 0B,71
2026-05-29T18:52:42-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.14%,61.97MiB / 160MiB,38.73%,2.49MB / 1.01MB,868kB / 0B,64
2026-05-29T18:52:42-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.24%,16.23MiB / 30MiB,54.10%,7MB / 7.53MB,0B / 12.3kB,15
2026-05-29T18:52:46-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,45.52%,65.39MiB / 160MiB,40.87%,2.51MB / 976kB,205kB / 0B,76
2026-05-29T18:52:46-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,42.20%,62.02MiB / 160MiB,38.76%,2.51MB / 1.02MB,868kB / 0B,65
2026-05-29T18:52:46-03:00,rinha-de-backend-2026-vhtor-kotlin-nginx-1,0.00%,15.72MiB / 30MiB,52.41%,7.05MB / 7.58MB,0B / 12.3kB,15
2026-05-29T18:52:50-03:00,rinha-de-backend-2026-vhtor-kotlin-api1-1,40.86%,62.9MiB / 160MiB,39.31%,2.52MB / 983kB,205kB / 0B,71
2026-05-29T18:52:50-03:00,rinha-de-backend-2026-vhtor-kotlin-api2-1,40.47%,62.65MiB / 160MiB,39.16%,2.52MB / 1.02MB,868kB / 0B,64
